instance,source_file,channel_id,channel_name,connector_context,secret_type,placeholder,orig_value_length
MEH,MEH/Docman.xml,04524f4d-5201-4c16-b66f-26c3d7783d85,Docman,sourceConnector,password,${REDACTED_PASSWORD},11
MEH,MEH/Docman.xml,04524f4d-5201-4c16-b66f-26c3d7783d85,Docman,Destination 1,username,${REDACTED_USERNAME},11
MEH,MEH/OpenEyes PAS Query v2.xml,969561b8-b516-4fce-9b3e-6865d6f19602,OpenEyes PAS Query v2,Set Message Type and data,sample_message_inbound,(blanked),792
MEH,MEH/OpenEyes PAS Query v2.xml,969561b8-b516-4fce-9b3e-6865d6f19602,OpenEyes PAS Query v2,Set Message Type and data,sample_message_outbound,(blanked),148
MEH,MEH/OpenEyes PAS v2.xml,7d6b6b87-29ff-49e2-b4e5-38022c768b24,OpenEyes PAS v2,AIS,password,${REDACTED_PASSWORD},11
MEH,MEH/OpenEyes PAS v2.xml,7d6b6b87-29ff-49e2-b4e5-38022c768b24,OpenEyes PAS v2,Clinic List - DELETE,password,${REDACTED_PASSWORD},11
MEH,MEH/OpenEyes PAS v2.xml,7d6b6b87-29ff-49e2-b4e5-38022c768b24,OpenEyes PAS v2,Clinic List - PUT,password,${REDACTED_PASSWORD},11
MEH,MEH/OpenEyes PAS v2.xml,7d6b6b87-29ff-49e2-b4e5-38022c768b24,OpenEyes PAS v2,PASAPI - Patient,password,${REDACTED_PASSWORD},11
MEH,MEH/OpenEyes PAS v2.xml,7d6b6b87-29ff-49e2-b4e5-38022c768b24,OpenEyes PAS v2,PASAPI - Patient Merge,password,${REDACTED_PASSWORD},11
MEH,MEH/OpenEyes PAS v2.xml,7d6b6b87-29ff-49e2-b4e5-38022c768b24,OpenEyes PAS v2,PASAPI - Secondary Patient,password,${REDACTED_PASSWORD},11
MEH,MEH/OpenEyes PAS v2.xml,7d6b6b87-29ff-49e2-b4e5-38022c768b24,OpenEyes PAS v2,AIS,sample_message_inbound,(blanked),884
MEH,MEH/OpenEyes PAS v2.xml,7d6b6b87-29ff-49e2-b4e5-38022c768b24,OpenEyes PAS v2,AISXML,sample_message_inbound,(blanked),884
MEH,MEH/OpenEyes PAS v2.xml,7d6b6b87-29ff-49e2-b4e5-38022c768b24,OpenEyes PAS v2,GenerateSecondaryHospitalNumber,sample_message_inbound,(blanked),884
Newmedica,Newmedica/DICOM.xml,99f6d548-97f8-4400-96c4-ea388e72d48e,DICOM,PayloadProcessor API Send,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/DICOM.xml,99f6d548-97f8-4400-96c4-ea388e72d48e,DICOM,Write out file to IolMasterImport incoming folder when device is a Zeiss IOLMaster,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/Default Group.xml,d77eae0b-4d62-4f53-ba0d-703daeabc3ed,Docman,Destination 1,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/Default Group.xml,d77eae0b-4d62-4f53-ba0d-703daeabc3ed,Docman,sourceConnector,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/Default Group.xml,d77eae0b-4d62-4f53-ba0d-703daeabc3ed,Docman,Destination 1,username,${REDACTED_USERNAME},8
Newmedica,Newmedica/Default Group.xml,c878f575-333c-4357-955a-95c572350204,Generic Document processor,Destination 1,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/Default Group.xml,95e0a91d-6127-4e4b-b6f7-0431f641036f,Generic Document processor OLD,Destination 1,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/Default Group.xml,0e8bdcb1-966a-4f0a-beb5-72bc6a027d12,OpenEyes Document In,Clinic List - DELETE,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/Default Group.xml,0e8bdcb1-966a-4f0a-beb5-72bc6a027d12,OpenEyes Document In,Clinic List - DNA,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/Default Group.xml,0e8bdcb1-966a-4f0a-beb5-72bc6a027d12,OpenEyes Document In,Clinic List - PUT,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/Default Group.xml,0e8bdcb1-966a-4f0a-beb5-72bc6a027d12,OpenEyes Document In,PASAPI - Patient,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/Default Group.xml,0e8bdcb1-966a-4f0a-beb5-72bc6a027d12,OpenEyes Document In,PASAPI - Patient Merge,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/Default Group.xml,0e8bdcb1-966a-4f0a-beb5-72bc6a027d12,OpenEyes Document In,PASAPI - Patient Referral,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/Default Group.xml,0e8bdcb1-966a-4f0a-beb5-72bc6a027d12,OpenEyes Document In,PASAPI - Secondary Patient,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/Default Group.xml,0e8bdcb1-966a-4f0a-beb5-72bc6a027d12,OpenEyes Document In,DidNotAttendComment,sample_message_inbound,(blanked),884
Newmedica,Newmedica/Default Group.xml,0e8bdcb1-966a-4f0a-beb5-72bc6a027d12,OpenEyes Document In,DidNotAttendComment,sample_message_inbound,(blanked),884
Newmedica,Newmedica/Default Group.xml,0e8bdcb1-966a-4f0a-beb5-72bc6a027d12,OpenEyes Document In,GenerateSecondaryHospitalNumber,sample_message_inbound,(blanked),884
Newmedica,Newmedica/PAS.xml,1fac4399-a6ee-4fed-aa6a-1aea903485ee,OpenEyes PAS In,Clinic List - DELETE,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/PAS.xml,1fac4399-a6ee-4fed-aa6a-1aea903485ee,OpenEyes PAS In,Clinic List - DNA,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/PAS.xml,1fac4399-a6ee-4fed-aa6a-1aea903485ee,OpenEyes PAS In,Clinic List - PUT,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/PAS.xml,1fac4399-a6ee-4fed-aa6a-1aea903485ee,OpenEyes PAS In,PASAPI - Patient,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/PAS.xml,1fac4399-a6ee-4fed-aa6a-1aea903485ee,OpenEyes PAS In,PASAPI - Patient Merge,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/PAS.xml,1fac4399-a6ee-4fed-aa6a-1aea903485ee,OpenEyes PAS In,PASAPI - Patient Referral,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/PAS.xml,1fac4399-a6ee-4fed-aa6a-1aea903485ee,OpenEyes PAS In,PASAPI - Secondary Patient,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/PAS.xml,1fac4399-a6ee-4fed-aa6a-1aea903485ee,OpenEyes PAS In,DidNotAttendComment,sample_message_inbound,(blanked),884
Newmedica,Newmedica/PAS.xml,1fac4399-a6ee-4fed-aa6a-1aea903485ee,OpenEyes PAS In,DidNotAttendComment,sample_message_inbound,(blanked),884
Newmedica,Newmedica/PAS.xml,1fac4399-a6ee-4fed-aa6a-1aea903485ee,OpenEyes PAS In,GenerateSecondaryHospitalNumber,sample_message_inbound,(blanked),884
Newmedica,Newmedica/PAS.xml,18755f08-f96f-4896-bdee-0aa655ee62bb,OpenEyes PAS Out,Remove empty Interim Outcome,sample_message_inbound,(blanked),792
Newmedica,Newmedica/PAS.xml,18755f08-f96f-4896-bdee-0aa655ee62bb,OpenEyes PAS Out,Remove empty Interim Outcome,sample_message_outbound,(blanked),148
Newmedica,Newmedica/PAS.xml,ffa240cd-f1be-42c1-a986-ef9a203d7e58,PAS In LOCAL-1-0,Clinic List - DELETE,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/PAS.xml,ffa240cd-f1be-42c1-a986-ef9a203d7e58,PAS In LOCAL-1-0,Clinic List - DNA,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/PAS.xml,ffa240cd-f1be-42c1-a986-ef9a203d7e58,PAS In LOCAL-1-0,Clinic List - PUT,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/PAS.xml,ffa240cd-f1be-42c1-a986-ef9a203d7e58,PAS In LOCAL-1-0,PASAPI - Patient,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/PAS.xml,ffa240cd-f1be-42c1-a986-ef9a203d7e58,PAS In LOCAL-1-0,PASAPI - Patient Merge,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/PAS.xml,ffa240cd-f1be-42c1-a986-ef9a203d7e58,PAS In LOCAL-1-0,PASAPI - Patient Referral,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/PAS.xml,ffa240cd-f1be-42c1-a986-ef9a203d7e58,PAS In LOCAL-1-0,PASAPI - Secondary Patient,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/PAS.xml,ffa240cd-f1be-42c1-a986-ef9a203d7e58,PAS In LOCAL-1-0,AppointmentAssigneeXML,sample_message_inbound,(blanked),884
Newmedica,Newmedica/PAS.xml,ffa240cd-f1be-42c1-a986-ef9a203d7e58,PAS In LOCAL-1-0,DidNotAttendComment,sample_message_inbound,(blanked),884
Newmedica,Newmedica/PAS.xml,ffa240cd-f1be-42c1-a986-ef9a203d7e58,PAS In LOCAL-1-0,GenerateSecondaryHospitalNumber,sample_message_inbound,(blanked),884
Newmedica,Newmedica/PAS.xml,26d6b455-48e9-4b65-ae7f-f030dcaa0a8b,PAS In LOCAL-184-0,Clinic List - DELETE,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/PAS.xml,26d6b455-48e9-4b65-ae7f-f030dcaa0a8b,PAS In LOCAL-184-0,Clinic List - DNA,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/PAS.xml,26d6b455-48e9-4b65-ae7f-f030dcaa0a8b,PAS In LOCAL-184-0,Clinic List - PUT,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/PAS.xml,26d6b455-48e9-4b65-ae7f-f030dcaa0a8b,PAS In LOCAL-184-0,PASAPI - Patient,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/PAS.xml,26d6b455-48e9-4b65-ae7f-f030dcaa0a8b,PAS In LOCAL-184-0,PASAPI - Patient Merge,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/PAS.xml,26d6b455-48e9-4b65-ae7f-f030dcaa0a8b,PAS In LOCAL-184-0,PASAPI - Patient Referral,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/PAS.xml,26d6b455-48e9-4b65-ae7f-f030dcaa0a8b,PAS In LOCAL-184-0,PASAPI - Secondary Patient,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/PAS.xml,26d6b455-48e9-4b65-ae7f-f030dcaa0a8b,PAS In LOCAL-184-0,AppointmentAssigneeXML,sample_message_inbound,(blanked),884
Newmedica,Newmedica/PAS.xml,26d6b455-48e9-4b65-ae7f-f030dcaa0a8b,PAS In LOCAL-184-0,DidNotAttendComment,sample_message_inbound,(blanked),884
Newmedica,Newmedica/PAS.xml,26d6b455-48e9-4b65-ae7f-f030dcaa0a8b,PAS In LOCAL-184-0,GenerateSecondaryHospitalNumber,sample_message_inbound,(blanked),884
Newmedica,Newmedica/PAS.xml,9f82c6ab-6ab2-4d76-895f-aa4ca1b8d0a7,PAS In LOCAL-186-0,Clinic List - DELETE,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/PAS.xml,9f82c6ab-6ab2-4d76-895f-aa4ca1b8d0a7,PAS In LOCAL-186-0,Clinic List - DNA,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/PAS.xml,9f82c6ab-6ab2-4d76-895f-aa4ca1b8d0a7,PAS In LOCAL-186-0,Clinic List - PUT,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/PAS.xml,9f82c6ab-6ab2-4d76-895f-aa4ca1b8d0a7,PAS In LOCAL-186-0,PASAPI - Patient,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/PAS.xml,9f82c6ab-6ab2-4d76-895f-aa4ca1b8d0a7,PAS In LOCAL-186-0,PASAPI - Patient Merge,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/PAS.xml,9f82c6ab-6ab2-4d76-895f-aa4ca1b8d0a7,PAS In LOCAL-186-0,PASAPI - Patient Referral,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/PAS.xml,9f82c6ab-6ab2-4d76-895f-aa4ca1b8d0a7,PAS In LOCAL-186-0,PASAPI - Secondary Patient,password,${REDACTED_PASSWORD},11
Newmedica,Newmedica/PAS.xml,9f82c6ab-6ab2-4d76-895f-aa4ca1b8d0a7,PAS In LOCAL-186-0,AppointmentAssigneeXML,sample_message_inbound,(blanked),884
Newmedica,Newmedica/PAS.xml,9f82c6ab-6ab2-4d76-895f-aa4ca1b8d0a7,PAS In LOCAL-186-0,DidNotAttendComment,sample_message_inbound,(blanked),884
Newmedica,Newmedica/PAS.xml,9f82c6ab-6ab2-4d76-895f-aa4ca1b8d0a7,PAS In LOCAL-186-0,GenerateSecondaryHospitalNumber,sample_message_inbound,(blanked),884
