instance,channel_name,channel_id,group,artifact_type,bridgelink_version,source_file,source_transport,source_port,n_destinations,dest_transports,pasapi_versions,uses_payload_processor,secret_present,sensitive_env_present,raw_sha256
Newmedica,PAS In LOCAL-222-0,33b1c017-edf4-4feb-81b8-e59eb1f63f09,PAS,channelGroup,4.5.2,Newmedica/PAS.xml,Channel Reader,,9,HTTP Sender|JavaScript Writer,V1|V3,False,True,False,6f1545eb935d
Newmedica,PAS In LOCAL-223-0,81982f7b-ec91-42a8-a5ed-8352265f2e17,PAS,channelGroup,4.5.2,Newmedica/PAS.xml,Channel Reader,,9,HTTP Sender|JavaScript Writer,V1|V3,False,True,False,76929d940642
Optegra,DOCUMENTS IN,1208a953-4fe1-457a-85b3-f17f56a5b1c1,[Default Group],channelGroup,4.5.2,Optegra/Default Group.xml,TCP Listener,6662,1,HTTP Sender,,True,True,True,e495ae31f0ce
Optegra,Docman,04524f4d-5201-4c16-b66f-26c3d7783d85,[Default Group],channelGroup,4.5.2,Optegra/Default Group.xml,File Reader,,2,File Writer|JavaScript Writer,,False,True,False,a63ed5b8df1a
Optegra,Document Migration,1a5ecbc6-de5e-4bb1-bb23-fad5d2c25488,[Default Group],channelGroup,4.5.2,Optegra/Default Group.xml,File Reader,,3,HTTP Sender,,False,True,False,f9d3837dd04b
Optegra,HFA2,81492d92-15a9-4109-8b65-9d95aa131200,Dicom,channelGroup,4.5.2,Optegra/Dicom.xml,DICOM Listener,11113,2,File Writer|HTTP Sender,,True,True,True,a253e7120144
Optegra,IOL,c14efd23-2c1c-4e53-a59f-dcfe0e727c3b,Dicom,channelGroup,4.5.2,Optegra/Dicom.xml,DICOM Listener,11112,3,File Writer|HTTP Sender|JavaScript Writer,,True,True,True,a15d8161b6ad
Optegra,PAS IN V2,d69815ee-68d1-4dcb-8896-8b12ba06a9c4,PAS,channelGroup,4.5.2,Optegra/PAS.xml,TCP Listener,6661,5,HTTP Sender,V2,False,True,True,1a94c78daf9b
Pennine,DICOM_11118,da67d2ba-db52-4f50-898b-b534d71450ab,[Default Group],channelGroup,4.4.2,Pennine/Default Group.xml,DICOM Listener,11118,2,File Writer|HTTP Sender,,True,True,True,8742b8c0cabc
Pennine,DICOM_11119,2d01d348-a78d-42b7-a206-410d30a2ff8b,[Default Group],channelGroup,4.4.2,Pennine/Default Group.xml,DICOM Listener,11119,2,File Writer|HTTP Sender,,True,True,True,68ad1a8c59c9
Pennine,OpenEyes DICOM Channel,ba5419a3-24a5-48a2-bd9b-5cb2072e87f4,DICOM,channelGroup,4.4.2,Pennine/DICOM.xml,DICOM Listener,11119,1,HTTP Sender,,True,True,True,e5af3ea82b0b
Pennine,OpenEyes DICOM IOLMaster Channel,eee5caa4-786f-451b-9a89-f00aeb46f935,DICOM,channelGroup,4.4.2,Pennine/DICOM.xml,DICOM Listener,11118,2,File Writer|HTTP Sender,,True,True,True,7a58a6dfc79b
Pennine,OpenEyes PAS,6c3a10d1-968d-468e-9355-008946825b20,PAS,channelGroup,4.4.2,Pennine/PAS.xml,TCP Listener,6662,3,HTTP Sender,V1,False,True,True,2222fd5d6b22
Pennine,OpenEyes PAS Query,06f0b8b8-5ea0-41a4-a0bc-04b89fb5193c,PAS,channelGroup,4.4.2,Pennine/PAS.xml,HTTP Listener,6663,3,JavaScript Writer|TCP Sender,,False,True,True,e297e94019f4
Portsmouth,DICOM,da67d2ba-db52-4f50-898b-b534d71450ab,[Default Group],channelGroup,4.4.2,Portsmouth/Default Group.xml,DICOM Listener,11112,2,File Writer|HTTP Sender,,True,True,True,3f687012d665
Portsmouth,DOCUMENT-OUT-Drop,29925e07-6c04-4dda-99f0-125c09824f97,[Default Group],channelGroup,4.4.2,Portsmouth/Default Group.xml,File Reader,,1,File Writer,,False,True,True,ec5795c98301
Portsmouth,DOCUMENT-OUT-Minestrone,04524f4d-5201-4c16-b66f-26c3d7783d85,[Default Group],channelGroup,4.4.2,Portsmouth/Default Group.xml,File Reader,,1,File Writer,,False,True,True,336b002cf39d
Portsmouth,DOCUMENTS IN HL7,402e6dfd-1747-477f-8f75-7f4da2c97bc8,[Default Group],channelGroup,4.4.2,Portsmouth/Default Group.xml,TCP Listener,6662,1,HTTP Sender,,True,True,True,bf8ed4b9ac94
Portsmouth,General Documents IN,f703f9cd-a6ee-42e6-8550-c6a9c3fb1c73,[Default Group],channelGroup,4.4.2,Portsmouth/Default Group.xml,File Reader,,2,HTTP Sender,,True,True,True,81e811337cc2
Portsmouth,IOL Documents IN,70aa29b6-b425-427a-93d8-a82cb4e65edf,[Default Group],channelGroup,4.4.2,Portsmouth/Default Group.xml,File Reader,,2,HTTP Sender,,True,True,True,7941afbb7837
Portsmouth,Migration Documents IN,3493b21f-fe49-482f-8614-2bb95bf1d799,[Default Group],channelGroup,4.4.2,Portsmouth/Default Group.xml,File Reader,,2,HTTP Sender,,True,True,True,ad9ef7bf940a
Portsmouth,PAS IN V2,d69815ee-68d1-4dcb-8896-8b12ba06a9c4,[Default Group],channelGroup,4.4.2,Portsmouth/Default Group.xml,TCP Listener,6661,5,HTTP Sender,V2,False,True,True,b264096f5145
Portsmouth,PAS OUT,06f0b8b8-5ea0-41a4-a0bc-04b89fb5193c,[Default Group],channelGroup,4.4.2,Portsmouth/Default Group.xml,HTTP Listener,6663,4,JavaScript Writer|TCP Sender,,False,True,True,c6e6455c7136
Sussex,DICOM,c14efd23-2c1c-4e53-a59f-dcfe0e727c3b,[Default Group],channelGroup,4.4.2,Sussex/Default Group.xml,DICOM Listener,11112,3,File Writer|HTTP Sender|JavaScript Writer,,True,True,True,f468ee0e0f5b
Sussex,Document Delivery,375fe7b2-d55c-4c60-b66f-dc2000c8ea95,[Default Group],channelGroup,4.4.2,Sussex/Default Group.xml,File Reader,,1,File Writer,,False,True,True,caef8f17a877
Sussex,PAS IN,d69815ee-68d1-4dcb-8896-8b12ba06a9c4,[Default Group],channelGroup,4.4.2,Sussex/Default Group.xml,TCP Listener,6661,6,HTTP Sender|JavaScript Writer,V1|V2,False,True,True,367ef55d6fcf
Sussex,PAS IN - Migration,6b9477af-6106-41b7-bd2e-3273c1c9b2d3,[Default Group],channelGroup,4.4.2,Sussex/Default Group.xml,TCP Listener,6662,5,HTTP Sender,V1|V2,False,True,True,b0e3c17c1e24
Sussex,PAS OUT,06f0b8b8-5ea0-41a4-a0bc-04b89fb5193c,[Default Group],channelGroup,4.4.2,Sussex/Default Group.xml,HTTP Listener,6663,4,JavaScript Writer|TCP Sender,,False,True,True,bc814021cdfe
Wales,DICOM,da67d2ba-db52-4f50-898b-b534d71450ab,,channel,4.4.2,Wales/DICOM.xml,DICOM Listener,11118,2,File Writer|HTTP Sender,,True,True,True,cd95e46f02c2
Wales,OpenEyes Query - ABUHB,2e678abc-78ba-4220-93d3-846f765fd8dd,,channel,4.4.2,Wales/OpenEyes Query - ABUHB.xml,HTTP Listener,6668,3,JavaScript Writer|Web Service Sender,,False,True,True,a86cbaa1dfc2
Wales,OpenEyes Query - BCUHB - Central,3b655b56-5d80-403e-a61e-97c3abf919a4,,channel,4.4.2,Wales/OpenEyes Query - BCUHB - Central.xml,HTTP Listener,6662,3,JavaScript Writer|Web Service Sender,,False,True,True,8ce231c442c0
Wales,OpenEyes Query - BCUHB - West,dbb9ec40-fc78-4f3c-82b6-552838ffe1d4,,channel,4.4.2,Wales/OpenEyes Query - BCUHB - West.xml,HTTP Listener,6663,3,JavaScript Writer|Web Service Sender,,False,True,True,b7d39dcf2ed8
Wales,OpenEyes Query - CTMUHB,0fa224a7-fe33-46ae-af0e-96d0ffd134c3,,channel,4.4.2,Wales/OpenEyes Query - CTMUHB.xml,HTTP Listener,6667,3,JavaScript Writer|Web Service Sender,,False,True,True,4dbb90cc1bcd
Wales,OpenEyes Query - CVUHB,9b5a6e96-dfbf-4a1d-b29b-59ccb6c3505d,,channel,4.4.2,Wales/OpenEyes Query - CVUHB.xml,HTTP Listener,6664,3,JavaScript Writer|Web Service Sender,,False,True,True,c3bb69305503
Wales,OpenEyes Query - HDUHB,dcf60125-aa97-45b9-a819-d54008394dea,,channel,4.4.2,Wales/OpenEyes Query - HDUHB.xml,HTTP Listener,6665,3,JavaScript Writer|Web Service Sender,,False,True,True,a91aba109c9d
Wales,OpenEyes Query - PTHB,e29c8a88-35df-4bbd-89b2-864153cfb42d,,channel,4.4.2,Wales/OpenEyes Query - PTHB.xml,HTTP Listener,6666,3,JavaScript Writer|Web Service Sender,,False,True,True,87ffc9ae417e
Wales,OpenEyes Query - SBUHB,0e97b0f7-75db-41c8-b287-b4c0b574608b,,channel,4.4.2,Wales/OpenEyes Query - SBUHB.xml,HTTP Listener,6669,3,JavaScript Writer|Web Service Sender,,False,True,True,b337eb549cfa
Wales,PAS IN,7a7288a3-5ade-46bc-921d-56baf0a6bf06,,channel,4.4.2,Wales/PAS IN.xml,TCP Listener,6661,5,HTTP Sender,V1,False,True,True,6ef8a28a3543
